Anova_pp,Anova_var_I1,Anova_var_I2,Anova_var_I3,Anova_var_D,dataset
1,0,0,0,3,datasetANOVA
2,0,0,0,5,datasetANOVA
3,0,0,0,5,datasetANOVA
4,0,0,0,2,datasetANOVA
5,0,0,0,3,datasetANOVA
6,0,0,0,3,datasetANOVA
7,0,0,0,2,datasetANOVA
8,0,0,0,4,datasetANOVA
9,0,0,0,4,datasetANOVA
10,0,0,0,4,datasetANOVA
11,0,0,1,7,datasetANOVA
12,0,0,1,4,datasetANOVA
13,0,0,1,4,datasetANOVA
14,0,0,1,4,datasetANOVA
15,0,0,1,6,datasetANOVA
16,0,0,1,7,datasetANOVA
17,0,0,1,4,datasetANOVA
18,0,0,1,3,datasetANOVA
19,0,0,1,4,datasetANOVA
20,0,0,1,3,datasetANOVA
61,1,0,0,54,datasetANOVA
62,1,0,0,53,datasetANOVA
63,1,0,0,55,datasetANOVA
64,1,0,0,55,datasetANOVA
65,1,0,0,55,datasetANOVA
66,1,0,0,51,datasetANOVA
67,1,0,0,54,datasetANOVA
68,1,0,0,51,datasetANOVA
69,1,0,0,54,datasetANOVA
70,1,0,0,52,datasetANOVA
71,1,0,1,55,datasetANOVA
72,1,0,1,55,datasetANOVA
73,1,0,1,54,datasetANOVA
74,1,0,1,53,datasetANOVA
75,1,0,1,56,datasetANOVA
76,1,0,1,55,datasetANOVA
77,1,0,1,54,datasetANOVA
78,1,0,1,57,datasetANOVA
79,1,0,1,57,datasetANOVA
80,1,0,1,54,datasetANOVA
121,2,0,0,105,datasetANOVA
122,2,0,0,105,datasetANOVA
123,2,0,0,104,datasetANOVA
124,2,0,0,104,datasetANOVA
125,2,0,0,102,datasetANOVA
126,2,0,0,104,datasetANOVA
127,2,0,0,105,datasetANOVA
128,2,0,0,103,datasetANOVA
129,2,0,0,101,datasetANOVA
130,2,0,0,105,datasetANOVA
131,2,0,1,106,datasetANOVA
132,2,0,1,103,datasetANOVA
133,2,0,1,107,datasetANOVA
134,2,0,1,106,datasetANOVA
135,2,0,1,106,datasetANOVA
136,2,0,1,103,datasetANOVA
137,2,0,1,106,datasetANOVA
138,2,0,1,107,datasetANOVA
139,2,0,1,104,datasetANOVA
140,2,0,1,103,datasetANOVA
21,0,1,0,13,datasetANOVA
22,0,1,0,14,datasetANOVA
23,0,1,0,13,datasetANOVA
24,0,1,0,14,datasetANOVA
25,0,1,0,11,datasetANOVA
26,0,1,0,12,datasetANOVA
27,0,1,0,15,datasetANOVA
28,0,1,0,14,datasetANOVA
29,0,1,0,12,datasetANOVA
30,0,1,0,13,datasetANOVA
31,0,1,1,13,datasetANOVA
32,0,1,1,13,datasetANOVA
33,0,1,1,14,datasetANOVA
34,0,1,1,13,datasetANOVA
35,0,1,1,16,datasetANOVA
36,0,1,1,14,datasetANOVA
37,0,1,1,14,datasetANOVA
38,0,1,1,14,datasetANOVA
39,0,1,1,14,datasetANOVA
40,0,1,1,16,datasetANOVA
81,1,1,0,66,datasetANOVA
82,1,1,0,64,datasetANOVA
83,1,1,0,66,datasetANOVA
84,1,1,0,64,datasetANOVA
85,1,1,0,64,datasetANOVA
86,1,1,0,63,datasetANOVA
87,1,1,0,66,datasetANOVA
88,1,1,0,63,datasetANOVA
89,1,1,0,63,datasetANOVA
90,1,1,0,64,datasetANOVA
91,1,1,1,65,datasetANOVA
92,1,1,1,67,datasetANOVA
93,1,1,1,65,datasetANOVA
94,1,1,1,67,datasetANOVA
95,1,1,1,68,datasetANOVA
96,1,1,1,65,datasetANOVA
97,1,1,1,68,datasetANOVA
98,1,1,1,67,datasetANOVA
